TfL Reference (TADS area),Camera Head Reference,Borough,Easting,Northing,Speed limit,Location,Fixed Camera Type,Site monitoring start date,Collisions;Fatal;1990,Collisions;Serious;1990,Collisions;Slight;1990,Collisions;Fatal;1991,Collisions;Serious;1991,Collisions;Slight;1991,Collisions;Fatal;1992,Collisions;Serious;1992,Collisions;Slight;1992,Collisions;Fatal;1993,Collisions;Serious;1993,Collisions;Slight;1993,Collisions;Fatal;1994,Collisions;Serious;1994,Collisions;Slight;1994,Collisions;Fatal;1995,Collisions;Serious;1995,Collisions;Slight;1995,Collisions;Fatal;1996,Collisions;Serious;1996,Collisions;Slight;1996,Collisions;Fatal;1997,Collisions;Serious;1997,Collisions;Slight;1997,Collisions;Fatal;1998,Collisions;Serious;1998,Collisions;Slight;1998,Collisions;Fatal;1999,Collisions;Serious;1999,Collisions;Slight;1999,Collisions;Fatal;2000,Collisions;Serious;2000,Collisions;Slight;2000,Collisions;Fatal;2001,Collisions;Serious;2001,Collisions;Slight;2001,Collisions;Fatal;2002,Collisions;Serious;2002,Collisions;Slight;2002,Collisions;Fatal;2003,Collisions;Serious;2003,Collisions;Slight;2003,Collisions;Fatal;2004,Collisions;Serious;2004,Collisions;Slight;2004,Collisions;Fatal;2005,Collisions;Serious;2005,Collisions;Slight;2005,Collisions;Fatal;2006,Collisions;Serious;2006,Collisions;Slight;2006,Collisions;Fatal;2007,Collisions;Serious;2007,Collisions;Slight;2007,Collisions;Fatal;2008,Collisions;Serious;2008,Collisions;Slight;2008,Collisions;Fatal;2009,Collisions;Serious;2009,Collisions;Slight;2009,Collisions;Fatal;2010,Collisions;Serious;2010,Collisions;Slight;2010,Collisions;Fatal;2011,Collisions;Serious;2011,Collisions;Slight;2011,Collisions;Fatal;2012,Collisions;Serious;2012,Collisions;Slight;2012,Casualties;Fatal;1990,Casualties;Serious;1990,Casualties;Slight;1990,Casualties;Fatal;1991,Casualties;Serious;1991,Casualties;Slight;1991,Casualties;Fatal;1992,Casualties;Serious;1992,Casualties;Slight;1992,Casualties;Fatal;1993,Casualties;Serious;1993,Casualties;Slight;1993,Casualties;Fatal;1994,Casualties;Serious;1994,Casualties;Slight;1994,Casualties;Fatal;1995,Casualties;Serious;1995,Casualties;Slight;1995,Casualties;Fatal;1996,Casualties;Serious;1996,Casualties;Slight;1996,Casualties;Fatal;1997,Casualties;Serious;1997,Casualties;Slight;1997,Casualties;Fatal;1998,Casualties;Serious;1998,Casualties;Slight;1998,Casualties;Fatal;1999,Casualties;Serious;1999,Casualties;Slight;1999,Casualties;Fatal;2000,Casualties;Serious;2000,Casualties;Slight;2000,Casualties;Fatal;2001,Casualties;Serious;2001,Casualties;Slight;2001,Casualties;Fatal;2002,Casualties;Serious;2002,Casualties;Slight;2002,Casualties;Fatal;2003,Casualties;Serious;2003,Casualties;Slight;2003,Casualties;Fatal;2004,Casualties;Serious;2004,Casualties;Slight;2004,Casualties;Fatal;2005,Casualties;Serious;2005,Casualties;Slight;2005,Casualties;Fatal;2006,Casualties;Serious;2006,Casualties;Slight;2006,Casualties;Fatal;2007,Casualties;Serious;2007,Casualties;Slight;2007,Casualties;Fatal;2008,Casualties;Serious;2008,Casualties;Slight;2008,Casualties;Fatal;2009,Casualties;Serious;2009,Casualties;Slight;2009,Casualties;Fatal;2010,Casualties;Serious;2010,Casualties;Slight;2010,Casualties;Fatal;2011,Casualties;Serious;2011,Casualties;Slight;2011,Casualties;Fatal;2012,Casualties;Serious;2012,Casualties;Slight;2012
CR-B-16012,16/802013,Barking,547752,186619,30mph,-  Valence Avenue  -  Becontree Avenue,Red Light,01/09/1994,0,2,5,0,3,3,0,0,6,0,1,6,0,2,3,0,1,7,0,0,5,0,0,2,0,0,1,0,0,1,0,0,1,0,1,2,0,0,2,0,0,1,1,0,1,0,0,3,0,0,0,0,0,1,0,0,1,0,0,2,0,0,1,0,0,1,0,0,1,0,2,6,0,4,9,0,0,8,0,1,6,0,3,4,0,1,9,0,0,6,0,0,3,0,0,2,0,0,1,0,0,1,0,2,3,0,0,2,0,0,1,1,0,1,0,0,6,0,0,0,0,0,2,0,0,1,0,0,2,0,0,4,0,0,1,0,0,3
CR-B-16011,16/802014,Barking,545310,185088,30mph,A124  Longbridge Road  -  Upney Lane,Red Light,01/09/1994,0,2,7,0,0,6,0,4,6,0,1,8,0,0,9,0,1,7,0,1,8,0,1,5,0,3,10,1,0,8,0,1,6,0,2,3,0,2,10,0,4,7,0,0,10,0,0,3,0,1,6,0,0,4,0,0,4,0,0,4,0,0,5,0,0,4,0,1,2,0,4,11,0,0,7,0,4,8,0,1,12,0,0,11,0,1,9,0,1,17,0,1,8,0,3,14,1,0,10,0,1,10,0,2,3,0,2,10,0,6,12,0,0,13,0,0,3,0,1,7,0,0,4,0,0,5,0,0,4,0,0,5,0,0,4,0,1,7
CR-B-16005,16/802015,Barking,549067,184517,20mph,A1240  Heathway  -  Church Elm Lane,Red Light,01/10/1994,0,1,5,0,1,3,0,1,6,0,1,5,0,0,6,0,1,3,0,1,4,0,1,3,0,0,7,0,0,7,0,1,2,0,0,4,0,0,4,0,1,3,0,0,3,0,0,2,0,1,3,0,0,1,0,1,5,0,0,5,0,0,1,0,0,2,0,0,0,0,1,6,0,1,3,0,1,7,0,1,7,0,0,6,0,1,4,0,1,4,0,2,5,0,0,9,0,0,7,0,1,2,0,0,4,0,0,4,0,1,6,0,0,4,0,0,2,0,1,3,0,0,1,0,1,5,0,0,5,0,0,2,0,0,2,0,0,0
CRTH-16003,16/802016,Barking,548860,183545,30mph,A1306  Ripple Road  -  Merrielands Crescent,Red Light,01/07/1995,0,3,10,0,0,5,0,1,5,0,0,6,0,0,8,0,2,3,0,3,7,0,2,3,0,2,3,0,0,2,0,3,7,0,1,8,1,0,2,0,0,1,0,0,1,0,0,3,0,0,5,0,1,1,0,0,1,0,1,1,0,0,4,0,0,2,0,0,5,0,3,16,0,0,15,0,1,11,0,0,8,0,0,12,0,2,5,0,3,8,0,3,7,0,2,5,0,0,3,0,4,11,0,1,13,1,1,3,0,0,1,0,0,1,0,0,4,0,0,6,0,1,3,0,0,1,0,1,2,0,0,4,0,0,3,0,0,10
CR-B-16008,16/802019,Barking,548987,185794,30mph,A1240  Heathway  -  Oxlow Lane,Red Light,01/03/1996,0,2,1,0,0,3,0,1,4,0,2,7,0,1,3,0,2,4,0,0,0,0,0,2,0,0,1,0,1,1,0,1,2,0,0,1,0,0,0,0,0,4,0,0,0,0,0,1,0,0,4,0,0,3,0,0,2,0,0,1,0,0,1,0,0,1,0,0,1,0,2,4,0,0,3,0,1,5,0,3,11,0,1,6,0,3,8,0,0,0,0,0,2,0,0,1,0,1,1,0,1,2,0,0,2,0,0,0,0,0,4,0,0,0,0,0,1,0,0,4,0,0,5,0,0,2,0,0,1,0,0,1,0,0,1,0,0,2
CRTH-16007,16/802024,Barking,547002,183623,40mph,A13  Ripple Road  -  Renwick Road,Red Light,01/06/1997,0,0,1,0,1,4,0,0,2,1,0,5,1,0,2,1,0,5,1,1,2,0,0,5,0,0,1,0,0,6,0,0,4,0,1,5,0,1,5,0,3,5,0,1,6,0,0,7,0,1,6,0,0,9,0,0,6,0,1,5,0,0,2,0,0,8,1,0,2,0,0,1,0,1,6,0,0,2,1,0,9,1,0,2,1,1,8,1,2,4,0,0,5,0,0,1,0,0,8,0,0,6,0,1,6,0,1,9,0,3,8,0,1,7,0,0,8,0,1,6,0,0,11,0,0,6,0,1,10,0,0,2,0,0,12,1,0,3
CS-B-16001,16/702535,Barking,550046,184204,30mph,B178  Ballards Road  south of Boleyn Gardens,Speed Camera,01/03/1997,0,1,3,0,3,3,1,0,1,0,0,3,0,1,11,0,1,7,0,0,7,0,0,2,0,0,5,0,0,3,0,0,3,0,3,3,0,0,4,0,1,2,0,0,3,0,0,2,0,0,2,0,0,2,0,0,2,0,0,1,0,1,0,0,0,0,0,0,4,0,1,4,0,3,3,1,0,1,0,0,8,0,1,13,0,1,8,0,0,8,0,0,2,0,0,7,0,0,5,0,0,3,0,3,3,0,0,4,0,1,2,0,0,3,0,0,4,0,0,2,0,0,2,0,0,3,0,0,1,0,1,0,0,0,0,0,0,5
CS-B-16006,16/702540,Barking,550677,184245,30mph,Rainham Road South By Canberra Crescent E B (Omni) E+W ,Speed Camera,01/09/1997,0,4,9,0,1,5,0,0,4,0,2,6,0,1,0,0,2,3,0,3,12,0,0,6,0,1,3,0,2,4,0,0,2,1,0,3,1,1,0,0,0,4,0,1,2,0,0,1,0,0,0,1,0,2,0,1,2,0,0,1,0,1,1,0,0,2,0,0,6,0,5,11,0,1,6,0,0,4,0,3,6,0,1,0,0,3,3,0,3,14,0,0,7,0,1,4,0,2,6,0,0,4,1,3,4,1,1,0,0,0,6,0,1,3,0,0,2,0,0,0,1,0,2,0,1,4,0,0,1,0,1,3,0,0,2,0,0,6
CS-B-16006,16/702541,Barking,550677,184245,30mph,A1112  Rainham Road South  jw Canberra Crescent,Speed Camera,01/09/1997,0,4,9,0,1,5,0,0,4,0,2,6,0,1,0,0,2,3,0,3,12,0,0,6,0,1,3,0,2,4,0,0,2,1,0,3,1,1,0,0,0,4,0,1,2,0,0,1,0,0,0,1,0,2,0,1,2,0,0,1,0,1,1,0,0,2,0,0,6,0,5,11,0,1,6,0,0,4,0,3,6,0,1,0,0,3,3,0,3,14,0,0,7,0,1,4,0,2,6,0,0,4,1,3,4,1,1,0,0,0,6,0,1,3,0,0,2,0,0,0,1,0,2,0,1,4,0,0,1,0,1,3,0,0,2,0,0,6
CSTH-16002,16/702545,Barking,549292,183517,30mph,A1306 New Road By South Close,Speed Camera,01/02/1998,0,1,4,0,2,2,0,1,2,0,0,3,0,4,5,1,0,6,0,2,4,0,0,2,0,0,6,0,0,9,1,0,5,0,1,2,0,0,2,0,0,2,0,0,4,0,0,3,0,0,2,1,1,3,0,1,5,0,0,1,0,0,2,0,0,0,0,0,2,0,1,4,0,2,2,0,2,2,0,0,4,0,5,8,1,0,7,0,2,5,0,0,2,0,0,9,0,0,15,1,2,9,0,1,5,0,0,2,0,0,2,0,0,6,0,0,3,0,0,2,1,1,5,0,1,5,0,0,1,0,0,2,0,0,0,0,0,3
