NAME,GSS_CODE,HECTARES,NONLD_AREA,LB_GSS_CD,BOROUGH,POLY_ID,NUMPOINTS
Chessington South,E05000405,755.17300,0.00000,E09000021,Kingston upon Thames,50840,26
Tolworth and Hook Rise,E05000414,259.46400,0.00000,E09000021,Kingston upon Thames,117160,25
Berrylands,E05000401,145.39000,0.00000,E09000021,Kingston upon Thames,50449,9
Alexandra,E05000400,268.50600,0.00000,E09000021,Kingston upon Thames,50456,12
Beverley,E05000402,187.82100,0.00000,E09000021,Kingston upon Thames,117161,16
Coombe Hill,E05000406,442.17000,0.00000,E09000021,Kingston upon Thames,117159,35
Chessington North and Hook,E05000404,192.98000,0.00000,E09000021,Kingston upon Thames,50530,8
Surbiton Hill,E05000413,166.48200,0.00000,E09000021,Kingston upon Thames,50457,25
Old Malden,E05000410,180.01600,0.00000,E09000021,Kingston upon Thames,50455,27
St. Mark's,E05000412,137.57800,0.00000,E09000021,Kingston upon Thames,50450,13
Grove,E05000408,192.03400,0.00000,E09000021,Kingston upon Thames,50458,79
Canbury,E05000403,124.24100,0.00000,E09000021,Kingston upon Thames,51118,25
Norbiton,E05000409,134.71100,0.00000,E09000021,Kingston upon Thames,50451,32
Coombe Vale,E05000407,164.71000,0.00000,E09000021,Kingston upon Thames,50452,16
St. James,E05000411,216.58400,0.00000,E09000021,Kingston upon Thames,50454,24
Tudor,E05000415,158.25500,0.00000,E09000021,Kingston upon Thames,51117,9
Coulsdon East,E05000150,774.35800,0.00000,E09000008,Croydon,50897,9
Selsdon and Ballards,E05000162,639.83400,0.00000,E09000008,Croydon,50900,18
Coulsdon West,E05000151,499.14700,0.00000,E09000008,Croydon,51328,39
Waddon,E05000167,364.75900,0.00000,E09000008,Croydon,51256,89
Kenley,E05000156,645.59300,0.00000,E09000008,Croydon,50898,31
Purley,E05000159,417.51800,0.00000,E09000008,Croydon,51329,55
Sanderstead,E05000160,634.60000,0.00000,E09000008,Croydon,50899,21
Heathfield,E05000155,871.34200,0.00000,E09000008,Croydon,51332,47
Fairfield,E05000153,377.22100,0.00000,E09000008,Croydon,51198,108
Broad Green,E05000149,266.19500,0.00000,E09000008,Croydon,51196,107
West Thornton,E05000168,197.11700,0.00000,E09000008,Croydon,51197,75
Bensham Manor,E05000148,144.14700,0.00000,E09000008,Croydon,51145,24
Norbury,E05000158,251.81800,0.00000,E09000008,Croydon,51192,64
New Addington,E05000157,241.71000,0.00000,E09000008,Croydon,50901,19
Croham,E05000152,352.70500,0.00000,E09000008,Croydon,51331,32
Fieldway,E05000154,148.64900,0.00000,E09000008,Croydon,51261,10
Shirley,E05000163,280.54100,0.00000,E09000008,Croydon,116954,8
Selhurst,E05000161,227.30300,0.00000,E09000008,Croydon,51199,59
Ashburton,E05000147,271.17300,0.00000,E09000008,Croydon,51259,34
Woodside,E05000169,216.65100,0.00000,E09000008,Croydon,116956,25
Thornton Heath,E05000165,168.10700,0.00000,E09000008,Croydon,51232,58
Upper Norwood,E05000166,262.32800,0.00000,E09000008,Croydon,119328,50
South Norwood,E05000164,237.81700,0.00000,E09000008,Croydon,51146,41
Addiscombe,E05000146,158.80800,0.00000,E09000008,Croydon,51257,30
Darwin,E05000117,2903.96000,0.00000,E09000006,Bromley,117267,26
Hayes and Coney Hall,E05000119,1082.30600,0.00000,E09000006,Bromley,117271,33
Bromley Common and Keston,E05000108,830.82000,0.00000,E09000006,Bromley,50903,50
Chelsfield and Pratts Bottom,E05000110,1256.32000,0.00000,E09000006,Bromley,117270,48
Biggin Hill,E05000107,828.03900,0.00000,E09000006,Bromley,50896,17
West Wickham,E05000127,441.04700,0.00000,E09000006,Bromley,117268,41
Clock House,E05000112,226.64700,0.00000,E09000006,Bromley,117277,46
Kelsey and Eden Park,E05000120,519.89500,0.00000,E09000006,Bromley,117269,52
Farnborough and Crofton,E05000118,700.58400,0.00000,E09000006,Bromley,117272,42
Shortlands,E05000126,245.66500,0.00000,E09000006,Bromley,117276,23
Bromley Town,E05000109,371.65600,0.00000,E09000006,Bromley,117281,83
Bickley,E05000106,486.91300,0.00000,E09000006,Bromley,51335,29
Petts Wood and Knoll,E05000124,430.12700,0.00000,E09000006,Bromley,50912,30
Crystal Palace,E05000116,229.11400,0.00000,E09000006,Bromley,117275,47
Penge and Cator,E05000123,295.97200,0.00000,E09000006,Bromley,117278,67
Copers Cope,E05000113,328.69200,0.00000,E09000006,Bromley,117279,50
Plaistow and Sundridge,E05000125,400.09400,0.00000,E09000006,Bromley,51336,35
Chislehurst,E05000111,1044.12000,0.00000,E09000006,Bromley,50911,54
Mottingham and Chislehurst North,E05000121,244.18400,0.00000,E09000006,Bromley,51338,21
Orpington,E05000122,425.61600,0.00000,E09000006,Bromley,117280,59
Cray Valley West,E05000115,393.85000,0.00000,E09000006,Bromley,117273,56
Cray Valley East,E05000114,1327.86600,0.00000,E09000006,Bromley,117274,40
Bedfont,E05000346,444.84100,0.00000,E09000018,Hounslow,51131,43
Hanworth,E05000353,323.25800,0.00000,E09000018,Hounslow,51122,45
Cranford,E05000350,272.63000,0.00000,E09000018,Hounslow,51125,98
Syon,E05000364,285.37800,13.18700,E09000018,Hounslow,117104,48
Heston West,E05000357,382.65700,0.00000,E09000018,Hounslow,51133,68
Heston East,E05000356,205.91300,0.00000,E09000018,Hounslow,117113,43
Osterley and Spring Grove,E05000363,627.78400,0.00000,E09000018,Hounslow,117103,64
Brentford,E05000347,318.35100,3.26300,E09000018,Hounslow,117105,84
Chiswick Homefields,E05000348,225.92300,22.28600,E09000018,Hounslow,117106,50
Feltham West,E05000352,318.10500,0.00000,E09000018,Hounslow,117107,29
Hanworth Park,E05000354,366.12600,0.00000,E09000018,Hounslow,51123,61
Feltham North,E05000351,338.44800,0.00000,E09000018,Hounslow,117102,66
Hounslow Heath,E05000359,278.17800,0.00000,E09000018,Hounslow,117108,52
Hounslow West,E05000361,162.01800,0.00000,E09000018,Hounslow,117109,44
Heston Central,E05000355,168.47800,0.00000,E09000018,Hounslow,117112,44
Hounslow South,E05000360,179.01100,0.00000,E09000018,Hounslow,117110,10
Isleworth,E05000362,203.08900,6.43600,E09000018,Hounslow,117111,21
Hounslow Central,E05000358,173.39300,0.00000,E09000018,Hounslow,117116,38
Chiswick Riverside,E05000349,208.00700,15.58400,E09000018,Hounslow,117114,31
Turnham Green,E05000365,176.95300,0.00000,E09000018,Hounslow,117115,67
Norwood Green,E05000186,379.60900,0.00000,E09000009,Ealing,116744,51
Southall Green,E05000190,158.61600,0.00000,E09000009,Ealing,51134,41
Northolt West End,E05000185,354.53600,0.00000,E09000009,Ealing,51089,76
Dormers Wells,E05000172,225.73000,0.00000,E09000009,Ealing,116745,33
