NAME,GSS_CODE,HECTARES,NONLD_AREA,LB_GSS_CD,BOROUGH,POLY_ID,NUMPOINTS
Chessington South,E05000405,755.17300,0.00000,E09000021,Kingston upon Thames,50840,3
Tolworth and Hook Rise,E05000414,259.46400,0.00000,E09000021,Kingston upon Thames,117160,4
Berrylands,E05000401,145.39000,0.00000,E09000021,Kingston upon Thames,50449,0
Alexandra,E05000400,268.50600,0.00000,E09000021,Kingston upon Thames,50456,3
Beverley,E05000402,187.82100,0.00000,E09000021,Kingston upon Thames,117161,2
Coombe Hill,E05000406,442.17000,0.00000,E09000021,Kingston upon Thames,117159,4
Chessington North and Hook,E05000404,192.98000,0.00000,E09000021,Kingston upon Thames,50530,1
Surbiton Hill,E05000413,166.48200,0.00000,E09000021,Kingston upon Thames,50457,1
Old Malden,E05000410,180.01600,0.00000,E09000021,Kingston upon Thames,50455,2
St. Mark's,E05000412,137.57800,0.00000,E09000021,Kingston upon Thames,50450,3
Grove,E05000408,192.03400,0.00000,E09000021,Kingston upon Thames,50458,15
Canbury,E05000403,124.24100,0.00000,E09000021,Kingston upon Thames,51118,1
Norbiton,E05000409,134.71100,0.00000,E09000021,Kingston upon Thames,50451,3
Coombe Vale,E05000407,164.71000,0.00000,E09000021,Kingston upon Thames,50452,2
St. James,E05000411,216.58400,0.00000,E09000021,Kingston upon Thames,50454,4
Tudor,E05000415,158.25500,0.00000,E09000021,Kingston upon Thames,51117,2
Coulsdon East,E05000150,774.35800,0.00000,E09000008,Croydon,50897,2
Selsdon and Ballards,E05000162,639.83400,0.00000,E09000008,Croydon,50900,3
Coulsdon West,E05000151,499.14700,0.00000,E09000008,Croydon,51328,4
Waddon,E05000167,364.75900,0.00000,E09000008,Croydon,51256,12
Kenley,E05000156,645.59300,0.00000,E09000008,Croydon,50898,6
Purley,E05000159,417.51800,0.00000,E09000008,Croydon,51329,10
Sanderstead,E05000160,634.60000,0.00000,E09000008,Croydon,50899,3
Heathfield,E05000155,871.34200,0.00000,E09000008,Croydon,51332,3
Fairfield,E05000153,377.22100,0.00000,E09000008,Croydon,51198,20
Broad Green,E05000149,266.19500,0.00000,E09000008,Croydon,51196,20
West Thornton,E05000168,197.11700,0.00000,E09000008,Croydon,51197,14
Bensham Manor,E05000148,144.14700,0.00000,E09000008,Croydon,51145,2
Norbury,E05000158,251.81800,0.00000,E09000008,Croydon,51192,7
New Addington,E05000157,241.71000,0.00000,E09000008,Croydon,50901,6
Croham,E05000152,352.70500,0.00000,E09000008,Croydon,51331,9
Fieldway,E05000154,148.64900,0.00000,E09000008,Croydon,51261,5
Shirley,E05000163,280.54100,0.00000,E09000008,Croydon,116954,5
Selhurst,E05000161,227.30300,0.00000,E09000008,Croydon,51199,10
Ashburton,E05000147,271.17300,0.00000,E09000008,Croydon,51259,9
Woodside,E05000169,216.65100,0.00000,E09000008,Croydon,116956,7
Thornton Heath,E05000165,168.10700,0.00000,E09000008,Croydon,51232,16
Upper Norwood,E05000166,262.32800,0.00000,E09000008,Croydon,119328,12
South Norwood,E05000164,237.81700,0.00000,E09000008,Croydon,51146,9
Addiscombe,E05000146,158.80800,0.00000,E09000008,Croydon,51257,10
Darwin,E05000117,2903.96000,0.00000,E09000006,Bromley,117267,0
Hayes and Coney Hall,E05000119,1082.30600,0.00000,E09000006,Bromley,117271,7
Bromley Common and Keston,E05000108,830.82000,0.00000,E09000006,Bromley,50903,6
Chelsfield and Pratts Bottom,E05000110,1256.32000,0.00000,E09000006,Bromley,117270,5
Biggin Hill,E05000107,828.03900,0.00000,E09000006,Bromley,50896,1
West Wickham,E05000127,441.04700,0.00000,E09000006,Bromley,117268,8
Clock House,E05000112,226.64700,0.00000,E09000006,Bromley,117277,3
Kelsey and Eden Park,E05000120,519.89500,0.00000,E09000006,Bromley,117269,6
Farnborough and Crofton,E05000118,700.58400,0.00000,E09000006,Bromley,117272,8
Shortlands,E05000126,245.66500,0.00000,E09000006,Bromley,117276,0
Bromley Town,E05000109,371.65600,0.00000,E09000006,Bromley,117281,15
Bickley,E05000106,486.91300,0.00000,E09000006,Bromley,51335,2
Petts Wood and Knoll,E05000124,430.12700,0.00000,E09000006,Bromley,50912,4
Crystal Palace,E05000116,229.11400,0.00000,E09000006,Bromley,117275,6
Penge and Cator,E05000123,295.97200,0.00000,E09000006,Bromley,117278,13
Copers Cope,E05000113,328.69200,0.00000,E09000006,Bromley,117279,8
Plaistow and Sundridge,E05000125,400.09400,0.00000,E09000006,Bromley,51336,7
Chislehurst,E05000111,1044.12000,0.00000,E09000006,Bromley,50911,8
Mottingham and Chislehurst North,E05000121,244.18400,0.00000,E09000006,Bromley,51338,3
Orpington,E05000122,425.61600,0.00000,E09000006,Bromley,117280,9
Cray Valley West,E05000115,393.85000,0.00000,E09000006,Bromley,117273,4
Cray Valley East,E05000114,1327.86600,0.00000,E09000006,Bromley,117274,7
Bedfont,E05000346,444.84100,0.00000,E09000018,Hounslow,51131,8
Hanworth,E05000353,323.25800,0.00000,E09000018,Hounslow,51122,5
Cranford,E05000350,272.63000,0.00000,E09000018,Hounslow,51125,8
Syon,E05000364,285.37800,13.18700,E09000018,Hounslow,117104,6
Heston West,E05000357,382.65700,0.00000,E09000018,Hounslow,51133,7
Heston East,E05000356,205.91300,0.00000,E09000018,Hounslow,117113,3
Osterley and Spring Grove,E05000363,627.78400,0.00000,E09000018,Hounslow,117103,12
Brentford,E05000347,318.35100,3.26300,E09000018,Hounslow,117105,7
Chiswick Homefields,E05000348,225.92300,22.28600,E09000018,Hounslow,117106,4
Feltham West,E05000352,318.10500,0.00000,E09000018,Hounslow,117107,6
Hanworth Park,E05000354,366.12600,0.00000,E09000018,Hounslow,51123,9
Feltham North,E05000351,338.44800,0.00000,E09000018,Hounslow,117102,8
Hounslow Heath,E05000359,278.17800,0.00000,E09000018,Hounslow,117108,11
Hounslow West,E05000361,162.01800,0.00000,E09000018,Hounslow,117109,11
Heston Central,E05000355,168.47800,0.00000,E09000018,Hounslow,117112,6
Hounslow South,E05000360,179.01100,0.00000,E09000018,Hounslow,117110,1
Isleworth,E05000362,203.08900,6.43600,E09000018,Hounslow,117111,4
Hounslow Central,E05000358,173.39300,0.00000,E09000018,Hounslow,117116,10
Chiswick Riverside,E05000349,208.00700,15.58400,E09000018,Hounslow,117114,3
Turnham Green,E05000365,176.95300,0.00000,E09000018,Hounslow,117115,3
Norwood Green,E05000186,379.60900,0.00000,E09000009,Ealing,116744,14
Southall Green,E05000190,158.61600,0.00000,E09000009,Ealing,51134,13
Northolt West End,E05000185,354.53600,0.00000,E09000009,Ealing,51089,6
Dormers Wells,E05000172,225.73000,0.00000,E09000009,Ealing,116745,6
Greenford Broadway,E05000177,251.66900,0.00000,E09000009,Ealing,116746,14
North Greenford,E05000183,325.73700,0.00000,E09000009,Ealing,71036,2
Northfield,E05000182,154.01100,0.00000,E09000009,Ealing,50524,5
East Acton,E05000175,427.58800,0.00000,E09000009,Ealing,116749,12
Southall Broadway,E05000189,161.72500,0.00000,E09000009,Ealing,51091,22
Elthorne,E05000176,199.96300,0.00000,E09000009,Ealing,51087,9
Walpole,E05000192,146.59600,0.00000,E09000009,Ealing,51112,11
Lady Margaret,E05000181,154.18200,0.00000,E09000009,Ealing,50955,4
Northolt Mandeville,E05000184,275.66400,0.00000,E09000009,Ealing,51013,7
Hobbayne,E05000180,220.93700,0.00000,E09000009,Ealing,51086,3
Cleveland,E05000171,222.85600,0.00000,E09000009,Ealing,50521,9
Greenford Green,E05000178,338.47700,0.00000,E09000009,Ealing,116747,13
Perivale,E05000187,336.77500,0.00000,E09000009,Ealing,51106,5
Ealing Common,E05000174,214.10600,0.00000,E09000009,Ealing,51111,4
Ealing Broadway,E05000173,185.67600,0.00000,E09000009,Ealing,51110,11
South Acton,E05000188,171.92000,0.00000,E09000009,Ealing,51062,13
Southfield,E05000191,142.86900,0.00000,E09000009,Ealing,116748,4
Acton Central,E05000170,177.46300,0.00000,E09000009,Ealing,51060,7
Hanger Hill,E05000179,327.72400,0.00000,E09000009,Ealing,50522,4
