NAME,GSS_CODE,HECTARES,NONLD_AREA,LB_GSS_CD,BOROUGH,POLY_ID,NUMPOINTS,Area,Node_Den,road_length_y,road_count_y,road_density_y,bike_intersections_y,bike_intersection_density_y,road_junction_y,road_junction_density_y
Chessington South,E05000405,755.173,0,E09000021,Kingston upon Thames,50840,236,7551782,0.00003125,38484.49074,463,0.00509608,18,0.000002383,245,0.000032442
Tolworth and Hook Rise,E05000414,259.464,0,E09000021,Kingston upon Thames,117160,160,2594666,0.000061665,31196.91786,331,0.012023481,20,0.000007708,170,0.000065519
Berrylands,E05000401,145.39,0,E09000021,Kingston upon Thames,50449,103,1453887,0.000070844,19631.39603,208,0.013502697,5,0.000003439,106,0.000072908
Alexandra,E05000400,268.506,0,E09000021,Kingston upon Thames,50456,157,2685019,0.000058472,29485.08469,300,0.010981331,18,0.000006703,165,0.000061452
Beverley,E05000402,187.821,0,E09000021,Kingston upon Thames,117161,107,1878204,0.000056969,20609.22011,226,0.010972833,12,0.000006389,108,0.000057501
Coombe Hill,E05000406,442.17,0,E09000021,Kingston upon Thames,117159,220,4421680,0.000049754,41186.83624,434,0.009314748,17,0.000003844,222,0.000050207
Chessington North and Hook,E05000404,192.98,0,E09000021,Kingston upon Thames,50530,160,1929805,0.000082909,25311.49245,309,0.013116088,1,0.000000518,163,0.000084464
Surbiton Hill,E05000413,166.482,0,E09000021,Kingston upon Thames,50457,167,1664836,0.00010031,24143.53616,331,0.01450205,5,0.000003003,168,0.00010091
Old Malden,E05000410,180.016,0,E09000021,Kingston upon Thames,50455,133,1800152,0.000073882,24940.68275,266,0.013854764,1,0.000000555,140,0.000077771
St. Mark's,E05000412,137.578,0,E09000021,Kingston upon Thames,50450,125,1375763,0.000090858,19045.62807,240,0.013843683,3,0.00000218,127,0.000092312
Grove,E05000408,192.034,0,E09000021,Kingston upon Thames,50458,226,1920347,0.000117687,29273.27415,437,0.015243742,51,0.000026557,227,0.000118207
Canbury,E05000403,124.241,0,E09000021,Kingston upon Thames,51118,131,1242408,0.00010544,20603.45378,251,0.016583484,14,0.000011268,132,0.000106245
Norbiton,E05000409,134.711,0,E09000021,Kingston upon Thames,50451,115,1347124,0.000085367,18408.67801,217,0.013665169,10,0.000007423,115,0.000085367
Coombe Vale,E05000407,164.71,0,E09000021,Kingston upon Thames,50452,133,1647111,0.000080747,22897.43801,260,0.013901575,1,0.000000607,134,0.000081354
St. James,E05000411,216.584,0,E09000021,Kingston upon Thames,50454,153,2165871,0.000070641,25952.70965,321,0.011982574,17,0.000007849,165,0.000076181
Tudor,E05000415,158.255,0,E09000021,Kingston upon Thames,51117,167,1582521,0.000105527,25513.07862,310,0.016121794,10,0.000006319,169,0.000106791
Coulsdon East,E05000150,774.358,0,E09000008,Croydon,50897,181,7743610,0.000023374,45618.25001,342,0.005891083,6,0.000000774,182,0.000023503
Selsdon and Ballards,E05000162,639.834,0,E09000008,Croydon,50900,162,6398350,0.000025319,39035.59237,317,0.006100884,13,0.000002031,162,0.000025319
Coulsdon West,E05000151,499.147,0,E09000008,Croydon,51328,200,4991428,0.000040068,53204.35202,399,0.010659144,34,0.000006811,210,0.000042072
Waddon,E05000167,364.759,0,E09000008,Croydon,51256,254,3647574,0.000069635,42323.12883,517,0.011603089,16,0.000004386,260,0.00007128
Kenley,E05000156,645.609,0,E09000008,Croydon,50898,241,6456114,0.000037329,55819.98353,471,0.008646065,3,0.000000464,241,0.000037329
Purley,E05000159,417.518,0,E09000008,Croydon,51329,245,4175166,0.00005868,52123.00368,484,0.012484055,28,0.000006706,255,0.000061075
Sanderstead,E05000160,634.697,0,E09000008,Croydon,50899,206,6346947,0.000032456,44510.62173,403,0.007012918,13,0.000002048,213,0.000033559
Heathfield,E05000155,871.342,0,E09000008,Croydon,51332,254,8713469,0.00002915,53170.0208,505,0.006102049,41,0.000004705,266,0.000030527
Fairfield,E05000153,377.221,0,E09000008,Croydon,51198,320,3772226,0.00008483,47665.82268,650,0.012635993,33,0.000008748,337,0.000089337
Broad Green,E05000149,266.195,0,E09000008,Croydon,51196,241,2661951,0.000090535,41066.74316,501,0.01542731,19,0.000007137,259,0.000097297
West Thornton,E05000168,197.117,0,E09000008,Croydon,51197,188,1971151,0.000095375,29223.6635,355,0.014825684,22,0.000011161,189,0.000095883
Bensham Manor,E05000148,144.147,0,E09000008,Croydon,51145,128,1441463,0.000088798,22126.20644,243,0.015349826,2,0.000001387,129,0.000089492
Norbury,E05000158,251.818,0,E09000008,Croydon,51192,194,2518187,0.000077039,32780.72605,362,0.01301759,8,0.000003176,194,0.000077039
New Addington,E05000157,241.71,0,E09000008,Croydon,50901,141,2417072,0.000058335,27648.34695,255,0.011438776,9,0.000003723,153,0.000063299
Croham,E05000152,352.705,0,E09000008,Croydon,51331,232,3527083,0.000065776,42050.52306,438,0.011922181,18,0.000005103,233,0.00006606
Fieldway,E05000154,148.649,0,E09000008,Croydon,51261,96,1486485,0.000064581,18361.24662,189,0.012352123,5,0.000003363,100,0.000067272
Shirley,E05000163,280.541,0,E09000008,Croydon,116954,234,2805406,0.00008341,37456.10175,448,0.013351401,17,0.000006059,240,0.000085549
Selhurst,E05000161,227.303,0,E09000008,Croydon,51199,182,2273030,0.000080069,29706.32868,351,0.013069043,5,0.000002199,182,0.000080069
